"id","sl.cat","ta.cat","act.cat","northing","easting","date_time"
"blanca",1,7,4,7874780,625910,1561946103
"blanca",1,NA,2,7874695,625822,1562019862
"blanca",1,6,NA,7874701,625796,1562020272
"blanca",1,4,NA,7874707,625791,1562020700
"blanca",1,5,2,7874716,625787,1562021119
"blanca",1,7,NA,7874726,625741,1562021537
"blanca",2,7,3,7874689,625681,1562021953
"blanca",1,6,NA,7874683,625676,1562022386
"blanca",2,3,NA,7874746,625615,1562022811
"blanca",2,NA,4,7874761,625555,1562024058
"blanca",1,6,NA,7874764,625522,1562024483
"blanca",1,2,NA,7874776,625531,1562024896
"blanca",1,6,5,7874808,625535,1562025341
"blanca",1,NA,NA,7874856,625590,1562026997
"blanca",1,6,4,7874884,625623,1562027419
"blanca",1,5,NA,7874908,625654,1562027847
"blanca",1,10,4,7874901,625638,1562028270
"blanca",1,2,NA,7874951,625652,1562028677
"blanca",1,7,1,7874978,625612,1562029143
"blanca",1,3,NA,7875002,625642,1562029564
"blanca",1,9,NA,7875003,625620,1562029969
"blanca",2,1,3,7875041,625693,1562030380
"blanca",1,NA,NA,7875005,625728,1562031662
"blanca",1,7,NA,7875044,625707,1562032045
"blanca",1,NA,NA,7875058,625746,1562033316
"blanca",2,NA,NA,7874886,625884,1562036283
"blanca",1,NA,NA,7874817,625979,1562106680
"blanca",2,8,NA,7874898,625975,1562107098
"blanca",1,10,2,7874889,625970,1562107530
"blanca",1,9,NA,7874899,626000,1562107959
"blanca",1,9,3,7874923,625965,1562108361
"blanca",1,3,NA,7874958,625988,1562108778
"blanca",1,4,NA,7874968,626017,1562109213
"blanca",1,7,2,7874982,626023,1562109620
"blanca",1,5,NA,7874989,626033,1562110043
"blanca",1,5,5,7874993,626065,1562110470
"blanca",1,5,NA,7874997,626114,1562110873
"blanca",1,5,NA,7874989,626140,1562111295
"blanca",1,6,5,7874992,626168,1562111735
"blanca",2,1,NA,7874971,626080,1562112142
"blanca",1,8,2,7874947,626081,1562112588
"blanca",1,10,NA,7874949,626082,1562112984
"blanca",1,3,NA,7874942,626109,1562113406
"blanca",1,5,2,7874932,626147,1562113821
"blanca",1,1,NA,7874923,626117,1562114261
"blanca",1,5,3,7874923,626109,1562114670
"blanca",1,8,NA,7874904,626109,1562115081
"blanca",1,6,NA,7874882,626121,1562115503
