"id","sl2","ta2","time1","unit1","time2","unit2","act.count","northing","easting","date_time"
"blanca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"blanca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"blanca","5.3851648071345","2.29743866747662","7.36666666666667","mins","6.56666666666667","mins",NA,"7874778","625946","1561331182"
"blanca","38.0131556174964","-2.73477655922451","6.56666666666667","mins","6.91666666666667","mins",NA,"7874740","625947","1561331597"
"blanca","13.6014705087354","1.84298554112815","6.91666666666667","mins","7.06666666666667","mins","46","7874744","625960","1561332021"
"blanca","43.0464865000618","0.735861937603986","7.06666666666667","mins","7.71666666666667","mins",NA,"7874781","625982","1561332484"
"blanca","19.2353840616713","0.379833580622716","7.71666666666667","mins","6.66666666666667","mins","104","7874800","625985","1561332884"
"blanca","14.8660687473185","0.989583143656447","6.66666666666667","mins","6.83333333333333","mins",NA,"7874810","625974","1561333294"
"blanca","16.7630546142402","-1.1358661350494","6.83333333333333","mins","7.03333333333333","mins",NA,"7874826","625979","1561333716"
"blanca","2.23606797749979","1.41003358616906","7.03333333333333","mins","7.21666666666667","mins","102","7874827","625977","1561334149"
"blanca","22.0907220343745","-1.01648883059335","7.21666666666667","mins","6.5","mins",NA,"7874849","625975","1561334539"
"blanca","23.6008474424119","2.11516317498447","6.5","mins","7.05","mins","141","7874835","625956","1561334962"
"blanca","81.7863069223693","0.726384198451087","7.05","mins","7.05","mins",NA,"7874755","625939","1561335385"
"blanca","45.3982378512647","-1.49396246613807","7.05","mins","6.98333333333333","mins",NA,"7874761","625894","1561335804"
"blanca","33.1360830515618","-1.34758490729748","6.98333333333333","mins","7.65","mins",NA,"7874794","625891","1561336263"
"blanca","14.560219778561","1.75843609859926","7.65","mins","1.91702546296296","days",NA,"7874790","625877","1561501894"
"blanca","86.7698104181403","2.38418270052429","1.91702546296296","days","6.7","mins",NA,"7874750","625954","1561502296"
"blanca","47.169905660283","2.13480841430501","6.7","mins","7.66666666666667","mins","86","7874797","625950","1561502756"
"blanca","77.0778826901725","-1.25591702200182","7.66666666666667","mins","6.41666666666667","mins",NA,"7874827","626021","1561503141"
"blanca","6.70820393249937","1.63466283755291","6.41666666666667","mins","7.08333333333333","mins","67","7874833","626018","1561503566"
"blanca","19.9248588451713","-0.157768737595954","7.08333333333333","mins","7.18333333333333","mins",NA,"7874852","626012","1561503997"
"blanca","7.21110255092798","-2.46467780174732","7.18333333333333","mins","6.76666666666667","mins",NA,"7874848","626018","1561504403"
"blanca","34.6554469023269","2.92379176305337","6.76666666666667","mins","7.48333333333333","mins","91","7874873","625994","1561504852"
"blanca","22.8035085019828","-2.06953711035488","7.48333333333333","mins","6.5","mins",NA,"7874879","626016","1561505242"
"blanca","113.740933704625","1.87059918643623","6.5","mins","6.83333333333333","mins","163","7874975","625955","1561505652"
"blanca","137.905764926634","-3.02497926640328","6.83333333333333","mins","7.2","mins",NA,"7874868","626042","1561506084"
"blanca","22.2036033111745","-2.38899233675918","7.2","mins","6.95","mins",NA,"7874871","626020","1561506501"
"blanca","51.9230199429887","-1.16225990972269","6.95","mins","6.86666666666667","mins","145","7874921","626006","1561506913"
"blanca","41.7851648315524","0.930613789889967","6.86666666666667","mins","7.01666666666667","mins",NA,"7874936","625967","1561507334"
"blanca","24.0416305603426","2.23341099775684","7.01666666666667","mins","7.03333333333333","mins","91","7874913","625974","1561507756"
"blanca","55.145262715849","-0.222841383413225","7.03333333333333","mins","7.06666666666667","mins",NA,"7874858","625978","1561508180"
"blanca","66.2193325245732","-0.740265042323849","7.06666666666667","mins","7.01666666666667","mins",NA,"7874806","625937","1561508601"
"blanca","74.5452882481515","-2.35289984518723","7.01666666666667","mins","22.4897222222222","hours",NA,"7874880","625928","1561589564"
"blanca","123.016259087976","2.70652680875646","22.4897222222222","hours","6.63333333333333","mins","38","7874763","625890","1561589962"
"blanca","84.4037913840368","-1.01752610180711","6.63333333333333","mins","6.95","mins",NA,"7874743","625808","1561590379"
"blanca","13.6014705087354","0.059267331622519","6.95","mins","7.3","mins",NA,"7874739","625795","1561590817"
"blanca","21.9317121994613","-2.62244653934327","7.3","mins","13.95","mins",NA,"7874755","625810","1561591654"
"blanca","16.2788205960997","-3.13038864063352","13.95","mins","7.43333333333333","mins","127","7874743","625799","1561592100"
"blanca","8.06225774829855","2.43709858934758","7.43333333333333","mins","6.4","mins",NA,"7874744","625807","1561592484"
"blanca","43.4165866921848","-3.00979626557095","6.4","mins","7.66666666666667","mins","96","7874733","625765","1561592944"
"blanca","41","-0.256151382565603","7.66666666666667","mins","6.95","mins",NA,"7874733","625724","1561593361"
"blanca","19.4164878389476","0.602287346134965","6.95","mins","6.58333333333333","mins",NA,"7874722","625708","1561593756"
"blanca","28.1602556806574","-0.7090230187841","6.58333333333333","mins","6.83333333333333","mins","77","7874725","625680","1561594166"
"blanca","16.5529453572468","2.81170116642539","6.83333333333333","mins","6.91666666666667","mins",NA,"7874718","625695","1561594581"
"blanca","11.1803398874989","-0.0270204491872648","6.91666666666667","mins","7.71666666666667","mins","109","7874713","625705","1561595044"
"blanca","29.9666481275434","0.912370953011527","7.71666666666667","mins","6.06666666666667","mins","114","7874726","625732","1561595408"
"blanca","67.9411510058521","0.378317398485316","6.06666666666667","mins","7.15","mins",NA,"7874776","625778","1561595837"
"blanca","22.2036033111745","-0.962568456481538","7.15","mins","6.96666666666667","mins","125","7874773","625800","1561596255"
"blanca","26.2488094968134","-2.30157087536207","6.96666666666667","mins","7.25","mins",NA,"7874756","625780","1561596690"
