"id","sl2","ta2","act.count","northing","easting","date_time"
"blanca",1.48494665495005,1.56166416057549,NA,7874990,626034,1561767374
"blanca",24.1541921827246,NA,NA,7874930,626042,1561768642
"blanca",5.60305037779281,-0.285464503822281,169,7874907,626010,1561769064
"blanca",36.5914017058413,2.72154421564197,NA,7874962,626277,1561769511
"blanca",33.2006316273468,-1.95756954495042,NA,7874752,626238,1561769897
"blanca",36.7578951471209,-1.671117519664,123,7874827,625981,1561770334
"blanca",15.3957798018413,NA,NA,7874937,625925,1561846629
"blanca",4.49868213402775,1.93579583797515,106,7874938,625893,1561847056
"blanca",8.77839755854017,-2.67568260501028,NA,7874964,625949,1561847478
"blanca",6.09727986330609,1.30127478906028,NA,7875006,625942,1561847897
"blanca",6.10285981808396,-3.02201089248171,131,7874965,625954,1561848317
"blanca",5.01397844391741,1.31462954611094,NA,7874966,625989,1561848736
"blanca",1.86771339187917,2.00588027795694,35,7874978,625983,1561849167
"blanca",4.54668948975108,-0.367173833818219,NA,7875009,625980,1561849578
"blanca",1.0493177112753,1.34996755706555,NA,7875010,625972,1561850039
"blanca",6.60782803063449,-1.0257779831151,125,7875048,625955,1561850417
"blanca",2.30169153743893,0.119756151137549,NA,7875063,625946,1561850873
"blanca",2.49348177782429,-0.021273386024061,94,7875077,625938,1561851261
"blanca",2.21654976180027,-0.840896668643165,NA,7875092,625943,1561851689
"blanca",4.60953384053926,0.130566094799628,NA,7875123,625949,1561852100
"blanca",3.30702464917905,-2.50598898409168,37,7875102,625959,1561852522
"blanca",2.22870574357711,-0.199440546774235,NA,7875086,625963,1561852966
"blanca",3.61609419835367,0.785398163397448,156,7875074,625983,1561853353
"blanca",4.40585676386426,-0.839192366927298,NA,7875043,625989,1561853783
"blanca",2.34790681674515,NA,NA,7874973,625913,1561855046
"blanca",6.22737954331279,0.0767718912697783,105,7874942,625884,1561855455
"blanca",3.28262213996602,0.175701946928017,NA,7874922,625871,1561855891
"blanca",2.9038401381217,-0.576196776624484,NA,7874914,625853,1561856298
